change,comapnyName,ltp,new52WHL,pChange,prev52WHL,prevClose,prevHLDate,series,symbol
-0.72,Aarey Drugs & Pharmaceuticals Limited,101.0,103.5,-0.7078254030672434,102.96,101.72,17-Sep-2026,EQ,AAREYDRUGS
23.5,Action Construction Equipment Limited,1229.1,1241.5,1.949236894492369,1213.2,1205.6,17-Sep-2026,EQ,ACE
27.35,Acme Solar Holdings Limited,438.65,440.7,6.649647459275468,430.5,411.3,04-Sep-2026,EQ,ACMESOLAR
3.15,ACS Technologies Limited,66.15,66.15,5.0,63.0,63,17-Sep-2026,BE,ACSTECH
5.3,Aegis Vopak Terminals Limited,316.0,317.0,1.7058255551979402,316.0,310.7,17-Sep-2026,EQ,AEGISVOPAK
1.26,Anlon Healthcare Limited,23.1,24.78,5.769230769230769,22.94,21.84,15-Sep-2026,EQ,AHCL
6.65,Akanksha Power and Infrastructure Limited,139.65,139.65,5.0,139.5,133,26-Aug-2026,SM,AKANKSHA
2.54,Algoquant Fintech Limited,72.67,76.2,3.6218451447312137,71.85,70.13,17-Sep-2026,EQ,ALGOQUANT
45.8,Alufluoride Limited,538.0,542.5,9.30516050386022,509.9,492.2,02-Sep-2026,EQ,ALUFLUOR
6.75,Ameya Precision Engineers Limited,142.55,142.55,4.970544918998527,135.8,135.8,17-Sep-2026,SM,AMEYA
17.6,Anand Rathi Wealth Limited,2225.0,2268.4,0.7973181118057443,2255.0,2207.4,07-Sep-2026,EQ,ANANDRATHI
39.1,Anlon Technology Solutions Limited,736.0,763.9,5.6105610561056105,748.0,696.9,15-Jun-2026,SM,ANLON
990.0,Apar Industries Limited,18791.0,19080.0,5.5614853098140555,18465.0,17801,12-Aug-2026,EQ,APARINDS
1.35,Apoorva Leasing Finance and Investment Company Limited,31.1,31.2,4.53781512605042,29.75,29.75,17-Sep-2026,EQ,APOORVA
134.55,Asian Star Company Limited,807.35,807.35,19.998513674197383,723.0,672.8,13-May-2026,EQ,ASTAR
44.0,Aurobindo Pharma Limited,1734.0,1734.0,2.603550295857988,1717.0,1690,31-Aug-2026,EQ,AUROPHARMA
372.0,Avalon Technologies Limited,2602.0,2618.0,16.681614349775785,2424.0,2230,07-Sep-2026,EQ,AVALON
0.5,Bhagyanagar India Limited,447.0,467.9,0.11198208286674133,446.5,446.5,17-Sep-2026,EQ,BHAGYANGR
4.4,Bikewo Green Tech Limited,116.6,116.6,3.9215686274509802,115.8,112.2,19-Aug-2026,ST,BIKEWO
6.75,Birla Cable Limited,408.4,418.8,1.6805676584090625,411.95,401.65,15-Sep-2026,EQ,BIRLACABLE
9.1,Bodal Chemicals Limited,191.23,191.23,4.996431120628123,189.68,182.13,09-Sep-2026,EQ,BODALCHEM
5.04,Confidence Petroleum India Limited,91.8,92.61,5.809128630705394,91.65,86.76,15-Sep-2026,EQ,CONFIPET
4.45,CP Capital Limited,145.5,152.0,3.15490960652251,144.4,141.05,19-Sep-2025,EQ,CPCAP
8.86,CSM Technologies Limited,111.5,114.9,8.63211223694466,113.0,102.64,02-Jul-2026,EQ,CSM
-0.15,DIC India Limited,628.3,642.0,-0.02386824727504177,638.95,628.45,04-Sep-2026,EQ,DICIND
