symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange,category
ADANIPORTS,EQ,1748.0,1824.0,1744.0,1824.0,1738.3,4.93,4148803,74138.6947297,N,12-Jun-2026,Dividend - Rs 7.50 Per Share,4.93,GAINER
ADANIENT,EQ,2933.0,3020.0,2924.6,3020.0,2923.2,3.31,1628125,48687.775625,N,12-Jun-2026,Dividend - Rs 1.30 Per Share,3.31,GAINER
BHARTIARTL,EQ,1843.0,1893.3,1835.3,1893.3,1836.0,3.12,14189780,265929.24800200004,N,24-Jul-2026,Dividend - Rs 24 Per Share,3.12,GAINER
HDFCBANK,EQ,715.25,733.8,715.25,731.0,713.0,2.52,39400710,286837.1688,N,19-Jun-2026,Dividend - Rs 13 Per Share,2.52,GAINER
BAJFINANCE,EQ,1025.9,1040.3,1019.1,1040.3,1015.0,2.49,8201656,84514.7844176,N,30-Jun-2026,Dividend - Rs 6 Per Share,2.49,GAINER
POWERGRID,EQ,264.6,270.3,263.4,270.3,263.75,2.48,17896733,47746.6939707,N,13-Aug-2026,Dividend - Rs 1.25 Per Share,2.48,GAINER
ULTRACEMCO,EQ,10890.0,11060.0,10819.0,11014.0,10764.0,2.32,458848,50437.9945888,N,30-Jul-2026,Dividend - Rs 240 Per Share,2.32,GAINER
APOLLOHOSP,EQ,8800.0,8944.5,8798.0,8944.5,8768.5,2.01,344265,30500.8806315,N,14-Aug-2026,Dividend - Rs 10 Per Sh,2.01,GAINER
JSWSTEEL,EQ,1270.1,1278.7,1262.7,1275.6,1253.4,1.77,2378010,30259.939449,N,07-Jul-2026,Dividend - Rs 7.10 Per Share,1.77,GAINER
INDIGO,EQ,4925.0,4970.0,4881.0,4920.0,4845.0,1.55,732347,36121.7707851,N,13-Aug-2025,Dividend - Rs 10 Per Share,1.55,GAINER
SHRIRAMFIN,EQ,1004.9,1019.0,1000.5,1010.0,995.0,1.51,4870631,49261.0748709,N,03-Jul-2026,Dividend - Rs 6 Per Share,1.51,GAINER
ETERNAL,EQ,328.5,329.75,325.7,326.85,322.35,1.4,17696853,57983.7388545,N,-,-,1.4,GAINER
AXISBANK,EQ,1244.0,1257.0,1240.5,1257.0,1240.0,1.37,5693016,71134.8042216,N,10-Jul-2026,Dividend - Re 1 Per Share,1.37,GAINER
CIPLA,EQ,1371.7,1394.5,1371.7,1394.5,1376.3,1.32,1386584,19202.385840799998,N,05-Jun-2026,Dividend - Rs 13 Per Share,1.32,GAINER
LT,EQ,3846.0,3898.0,3846.0,3885.0,3836.2,1.27,1547690,60023.287425,N,22-May-2026,Dividend - Rs 38 Per Share,1.27,GAINER
TRENT,EQ,2789.3,2824.0,2776.1,2824.0,2789.0,1.25,925467,25951.6679739,N,12-Jun-2026,Dividend - Rs 4 Per Share,1.25,GAINER
MAXHEALTH,EQ,1037.0,1059.9,1034.9,1049.3,1037.0,1.19,2098416,22049.9454864,N,03-Jul-2026,Dividend - Rs 2 Per Share,1.19,GAINER
GRASIM,EQ,3175.0,3209.2,3174.5,3209.2,3173.1,1.14,682793,21812.436898699998,N,07-Aug-2026,Dividend - Rs 10 Per Share,1.14,GAINER
